etl_dt,bank_code,data_dt,bank_nm,mortgage_cnt,mortgage_bal,decorator_hse_cnt,decorator_hse_bal,ln_car_cnt,ln_car_bal,ln_worker_cnt,ln_worker_bal,other_cl_cnt,other_cl_bal
2013-11-26 22:30:08.033819,012       ,2006-01-01 00:00:00,台北富邦銀行,113624.0,192637000000,5684.0,7953000000.0,5263.0,2150000000.0,257.0,59000000.0,358831.0,51487000000.0
2013-11-26 22:30:08.089764,078       ,2006-01-01 00:00:00,新加坡商星展銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.291786,151       ,2006-01-01 00:00:00,第七商業銀行,5781.0,10932000000.0,1956.0,2507000000.0,15.0,8000000.0,0.0,0.0,221.0,5000000.0
2013-11-26 22:30:08.293954,085       ,2006-01-01 00:00:00,新加坡商新加坡華僑銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.091782,092       ,2006-01-01 00:00:00,瑞士商瑞士銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-26 22:30:08.296091,816       ,2006-01-01 00:00:00,安泰商業銀行,21553.0,47331000000.0,9544.0,20016000000.0,16690.0,4704000000.0,381.0,48000000.0,69563.0,33422000000.0
2013-11-26 22:30:08.298283,N019      ,2006-01-01 00:00:00,香港東亞銀行,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,269000000.0
2013-11-26 22:30:07.976752,040       ,2006-01-01 00:00:00,中華開發工業銀行,10.0,26000000.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,32000000.0
2013-11-26 22:30:07.986721,008       ,2006-01-01 00:00:00,華南商業銀行,79290.0,188490000000,30347.0,24399000000.0,8555.0,3961000000.0,8379.0,3731000000.0,279736.0,23126000000.0
2013-11-26 22:30:08.004201,163       ,2006-01-01 00:00:00,彰化第十信用合作社,834.0,1116000000.0,5.0,3000000.0,0.0,0.0,0.0,0.0,14.0,2000000.0
2013-11-26 22:30:08.035829,023       ,2006-01-01 00:00:00,泰國盤谷銀行,3.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
