"國內各業生產及平減指數(2008SNA)-年 依 期間, 行業, 指標 與 種類"

" "," "," 國內生產毛額_當期價格(新台幣百萬元)"
" ","N.支援服務業",217205
" ","NA.租賃業",46439
" ","NB.其他支援服務業",170766
" ","O.公共行政及國防；強制性社會安全",1076339
" ","P.教育服務業",684735
" ","Q.醫療保健及社會工作服務業",430373
" ","QA.醫療保健服務業",398440
" ","QB.社會工作服務業",31933
" ","R.藝術、娛樂及休閒服務業",127070
" ","S.其他服務業",391440
" ","SA.宗教、職業及類似組織",60560
" ","SB.家事服務業",100827
" ","SC.未分類其他服務業",230053
" ","合 計",14106275
" ","進口稅",157516
" ","加值型營業稅",260709
" ","總 計(生產面)",14524500
" ","統計差異",162417
" ","GDP",14686917
" ","按三級產業分:農業",242400
" ","按三級產業分:工業",4756737
" ","按三級產業分:服務業",9525363
" ","補充項目:ICT產業",2210375
"2013"
" ","A.農、林、漁、牧業",255782
" ","AA.農耕業",198539
" ","AB.畜牧業",18407
" ","AC.林業",1929
" ","AD.漁業",36907
" ","B.礦業及土石採取業",15597
" ","C.製造業",4269190
" ","CA.食品製造業",110608
" ","CB.飲料及菸草製造業",84415
" ","CC.紡織業",89950
" ","CD.成衣及服飾品製造業",28682
" ","CE.皮革、毛皮及其製品製造業",18257
" ","CF.木竹製品製造業",10185
" ","CG.紙漿、紙及紙製品製造業",45315
" ","CH.印刷及資料儲存媒體複製業",41610
" ","CI.石油及煤製品製造業",173139
" ","CJ.化學材料製造業",225493
" ","CK.化學製品製造業",71081
" ","CL.藥品及醫用化學製品製造業",40618
" ","CM.橡膠製品製造業",43235
" ","CN.塑膠製品製造業",95391
" ","CO.非金屬礦物製品製造業",128442
" ","CP.基本金屬製造業",229140
" ","CQ.金屬製品製造業",238131
" ","CR.電子零組件製造業",1388090
" ","CS.電腦、電子產品及光學製品製造業",525100
" ","CT.電力設備製造業",140807
" ","CU.機械設備製造業",221603
" ","CV.汽車及其零件製造業",116394
" ","CW.其他運輸工具及其零件製造業",80601
" ","CX.家具製造業",17625
" ","CY.其他製造業",105278
" ","D.電力及燃氣供應業",203682
" ","DA.電力供應業",174120
" ","DB.氣體燃料供應業",29562
" ","E.用水供應及污染整治業",99617
" ","EA.用水供應業",22475
" ","EB.污染整治業",77142
" ","F.營造業",407098
" ","G.批發及零售業",2545181
" ","GA.批發業",1567484
" ","GB.零售業",977697
" ","H.運輸及倉儲業",422092
" ","HA.陸上運輸業",191579
" ","HB.水上運輸業",11909
" ","HC.航空運輸業",56182
" ","HD.運輸輔助及倉儲業",129472
" ","HE.郵政及快遞業",32950
" ","I.住宿及餐飲業",375142
" ","IA住宿服務業",65230
" ","IB.餐飲業",309912
" ","J.資訊及通訊傳播業",462587
" ","JA.傳播業",114616
" ","JB.電信業",216125
" ","JC.資訊業",131846
" ","K.金融及保險業",970154
" ","KA.金融中介業",623548
" ","KB.保險業",254769
" ","KC.證券期貨及其他金融業",91837
" ","L.不動產及住宅服務業",1282170
" ","LA.不動產業",238469
" ","LB.住宅服務",1043701
" ","M.專業、科學及技術服務業",338852
" ","N.支援服務業",229830
" ","NA.租賃業",47462
" ","NB.其他支援服務業",182368
" ","O.公共行政及國防；強制性社會安全",1060854
" ","P.教育服務業",684152
" ","Q.醫療保健及社會工作服務業",445009
" ","QA.醫療保健服務業",412063
" ","QB.社會工作服務業",32946
" ","R.藝術、娛樂及休閒服務業",132697
" ","S.其他服務業",399659
" ","SA.宗教、職業及類似組織",62411
" ","SB.家事服務業",104308
" ","SC.未分類其他服務業",232940
" ","合 計",14599345
" ","進口稅",164893
" ","加值型營業稅",281433
" ","總 計(生產面)",15045671
" ","統計差異",175530
" ","GDP",15221201
" ","按三級產業分:農業",255782
" ","按三級產業分:工業",4995184
" ","按三級產業分:服務業",9794705
" ","補充項目:ICT產業",2261161

"*年增率係以所取得資料之原始精確位數進行計算，與資料發布機關公布之結果-"
"容或有尾差。 "
"(http://www.stat.gov.tw/lp.asp?ctNode=2404&CtUnit=1088&BaseDSD=7) "
"more "
"(http://www.stat.gov.tw/lp.asp?CtNode=1831&CtUnit=927&BaseDSD=7&xq_xC-"
"at=10) 統計專題分析 "
"(http://www.stat.gov.tw/lp.asp?CtNode=1829&CtUnit=690&BaseDSD=7&xq_xC-"
"at=17) 國情統計通報 "
"96~101年資料已依5年修正結果追溯修正。 "
" "

