101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：臺北市,單位：金額(千元),,,,,,,,
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
文山區,興豐里,1670,2132935,1277,796,438,1585,1670.31,130.78
文山區,興旺里,2733,2777448,1016,749,439,1307,1021.07,100.47
文山區,興光里,1142,1314969,1151,729,409,1400,1461.17,126.9
文山區,興安里,2249,2872222,1277,807,422,1565,1736.38,135.96
文山區,興昌里,2418,3643553,1507,900,466,1713,6037.52,400.67
文山區,興泰里,1355,1505309,1111,754,414,1353,1266.39,113.99
文山區,興業里,1935,2113747,1092,768,419,1383,1379.86,126.32
文山區,景東里,2318,2573025,1110,813,436,1435,1096.38,98.77
文山區,景華里,1915,2114787,1104,743,407,1391,1378.01,124.78
文山區,興家里,2459,2590808,1054,697,406,1271,2668.13,253.24
文山區,萬芳里,2680,2940446,1097,746,415,1401,1200.77,109.44
文山區,木柵里,2835,4034642,1423,813,416,1611,3111.48,218.63
文山區,博嘉里,1776,2344145,1320,750,419,1459,5795.62,439.1
文山區,樟腳里,1869,2342625,1253,755,421,1527,1569.32,125.2
文山區,老泉里,185,144577,781,565,322,951,868.16,111.09
文山區,木新里,2808,2816248,1003,650,370,1194,2071.46,206.54
文山區,指南里,1033,1218443,1180,734,405,1495,1312.35,111.26
文山區,華興里,2799,3857964,1378,829,428,1631,2234.41,162.11
文山區,順興里,2355,2343506,995,664,384,1230,1390.75,139.76
文山區,萬興里,2771,4198788,1515,883,459,1872,2353.06,155.29
文山區,明興里,2363,2524066,1068,772,425,1381,1029.97,96.42
文山區,明義里,905,917762,1014,584,328,1203,1234.8,121.76
文山區,試院里,2335,2795659,1197,792,425,1434,3662.53,305.9
文山區,樟新里,2079,2678229,1288,818,451,1513,1889.59,146.68
文山區,樟林里,2831,2960053,1046,728,420,1326,1283.49,122.75
文山區,忠順里,1287,1600842,1244,818,431,1574,1491.52,119.91
文山區,萬美里,2245,3315561,1477,752,408,1607,4396.89,297.72
文山區,興邦里,1432,1538535,1074,767,422,1395,1145.35,106.6
文山區,樟樹里,1416,1492853,1054,706,410,1265,1686.35,159.95
文山區,政大里,2082,3849431,1849,1274,566,2298,2538.71,137.31
文山區,樟文里,1853,1882863,1016,697,390,1259,1078.82,106.17
文山區,其　他,312,295183,946,550,322,1065,1071.07,113.21
文山區,合　計,84072,100053077,1190,765,416,1457,2479.31,208.33
南港區,南港里,1957,1789290,914,635,378,1143,896.57,98.06
南港區,三重里,1842,2621566,1423,828,432,1649,2476.41,174
南港區,新富里,1248,1082394,867,635,375,1061,838.56,96.69
南港區,中研里,3047,3183629,1045,704,409,1292,1209.47,115.76
南港區,鴻福里,1577,1619146,1027,692,387,1241,1278.55,124.53
南港區,東新里,2375,2204844,928,643,377,1162,966.31,104.09
南港區,西新里,1606,1330592,829,586,345,1021,862.87,104.15
南港區,新光里,1288,1373844,1067,617,360,1108,6776.56,635.31
南港區,百福里,1734,1457138,840,615,360,1039,941.55,112.05
南港區,玉成里,1612,1494598,927,671,386,1190,1046,112.82
南港區,成福里,2488,2315336,931,660,397,1177,996.06,107.03
南港區,中南里,1175,907052,772,573,353,975,727.06,94.18
南港區,舊庄里,2735,2213125,809,603,372,1020,743.3,91.86
南港區,九如里,1977,1748932,885,635,369,1142,832.22,94.07
南港區,東明里,1770,2027437,1145,753,408,1388,1306.48,114.06
南港區,合成里,2338,2796422,1196,685,385,1259,2450,204.84
南港區,聯成里,1752,1587355,906,653,384,1159,833.04,91.94
南港區,萬福里,1458,1452716,996,671,382,1212,1292.3,129.7
南港區,仁福里,1778,2072675,1166,689,410,1294,7290.42,625.39
南港區,重陽里,1527,2662941,1744,1146,570,2163,2158.01,123.75
南港區,其　他,137,109083,796,498,298,808,1008.46,126.65
南港區,合　計,37421,38050114,1017,666,387,1209,2406.24,236.65
內湖區,紫陽里,2846,3401428,1195,786,419,1516,1442.45,120.69
內湖區,紫星里,2698,2853423,1058,690,391,1260,1450.49,137.15
內湖區,湖興里,2759,3183250,1154,762,422,1376,1628.7,141.16
內湖區,大湖里,2043,3810918,1865,945,487,1783,11897.1,637.79
內湖區,紫雲里,1773,1808830,1020,712,391,1330,1029.76,100.94
內湖區,瑞陽里,2628,3212373,1222,773,427,1513,1605.56,131.35
內湖區,清白里,3007,4523727,1504,927,473,1899,2012.1,133.75
內湖區,港墘里,2104,2491173,1184,775,416,1491,1478.59,124.88
內湖區,西湖里,2575,2542484,987,677,395,1187,1594.66,161.51
內湖區,石潭里,1144,1516335,1325,795,434,1439,2213.43,166.99
內湖區,葫洲里,2657,4058886,1528,992,492,1898,2081.27,136.24
內湖區,五分里,3234,2971527,919,691,406,1174,842.48,91.69
內湖區,內湖里,2162,2448503,1133,748,388,1383,1516.77,133.93
內湖區,週美里,2407,3175241,1319,717,396,1460,3306.05,250.62
內湖區,內溝里,1508,1525532,1012,721,388,1269,1113.49,110.07
內湖區,碧山里,2265,2513053,1110,699,404,1325,2123.53,191.39
內湖區,瑞光里,1560,1664052,1067,727,425,1346,1262.22,118.33
內湖區,金龍里,1816,1694382,933,671,393,1177,1223.94,131.18
內湖區,行善里,2169,1925575,888,638,381,1142,851.25,95.89
內湖區,湖濱里,2826,4120929,1458,842,427,1690,2339.81,160.46
內湖區,東湖里,2715,2517670,927,663,387,1191,938.79,101.24
內湖區,樂康里,2746,2456604,895,677,413,1153,767.71,85.82
內湖區,西安里,2430,2679248,1103,732,415,1389,1435.46,130.19
內湖區,西康里,3292,4345994,1320,792,420,1550,2234.68,169.27
內湖區,港富里,3056,3532047,1156,708,380,1389,1782.07,154.19
內湖區,港華里,3037,3466261,1141,714,418,1387,1728.53,151.45
內湖區,港都里,1910,2254003,1180,711,397,1403,2107.98,178.63
內湖區,金瑞里,2277,2391507,1050,689,404,1269,2202.25,209.68
內湖區,湖元里,2039,2412723,1183,718,404,1372,1848.96,156.26
內湖區,安湖里,2449,2840386,1160,762,413,1429,1810.38,156.09
內湖區,秀湖里,2270,3627537,1598,883,436,1837,2985.56,186.83
內湖區,安泰里,1717,1571672,915,642,383,1159,1250.68,136.63
內湖區,金湖里,3235,7463148,2307,1273,590,2660,4370.45,189.44
內湖區,康寧里,2755,3340251,1212,841,450,1571,1480.64,122.12
內湖區,明湖里,1577,1656352,1050,730,416,1314,1420.31,135.23
內湖區,蘆洲里,334,241717,724,564,366,873,590.76,81.63
內湖區,麗山里,1905,2219849,1165,726,429,1383,2046.57,175.63
內湖區,寶湖里,2729,5519458,2023,1183,546,2455,2948.99,145.81
內湖區,南湖里,1650,2700206,1636,1114,540,2122,1863.13,113.85
內湖區,其　他,304,327245,1076,511,299,896,2301.96,213.84
內湖區,合　計,90608,113005501,1247,765,420,1469,2671.09,214.17
士林區,仁勇里,1236,1302137,1054,629,347,1220,2715.9,257.8
